Unnamed: 0,text,preprocess_texts,tokens,tokens_no_stopwords
0,"هدف من پیدا کردن ایران ستیزان بود که شما رو یافتم 
حالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی… https://t.co/ZKXhxrtVZU",هدف من پیدا کردن ایران ستیزان بود که شما رو یافتم حالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی,"['هدف', 'من', 'پیدا', 'کردن', 'ایران', 'ستیزان', 'بود', 'که', 'شما', 'رو', 'یافتم', 'حالا', 'شما', 'از', 'پشت', 'لباس', 'پادشاهی', 'دوست', 'بیا', 'بیرون', 'چون', 'طرفداران', 'پادشاهی']","['هدف', 'ایران', 'ستیزان', 'یافتم', 'لباس', 'پادشاهی', 'دوست', 'بیا', 'طرفداران', 'پادشاهی']"
1,@reise_ghabile ظهر شمام بخیر,ظهر شمام بخیر,"['ظهر', 'شمام', 'بخیر']","['ظهر', 'شمام', 'بخیر']"
2,دوست پسر خلبان کجا میفروخن؟,دوست پسر خلبان کجا میفروخن,"['دوست', 'پسر', 'خلبان', 'کجا', 'میفروخن']","['دوست', 'پسر', 'خلبان', 'کجا', 'میفروخن']"
3,@HoseinMr007 خب اونجا زندگی میکنیم,خب اونجا زندگی میکنیم,"['خب', 'اونجا', 'زندگی', 'میکنیم']","['خب', 'اونجا', 'زندگی', 'میکنیم']"
4,RT @debianstable1: صبحا که میخوان منو از خواب بیدار کنن... https://t.co/ZOLx1KOqTW,صبحا که میخوان منو از خواب بیدار کنن,"['صبحا', 'که', 'میخوان', 'منو', 'از', 'خواب', 'بیدار', 'کنن']","['صبحا', 'میخوان', 'منو', 'خواب', 'بیدار', 'کنن']"
5,@setarehmibasham دقیقا همینطوره,دقیقا همینطوره,"['دقیقا', 'همینطوره']","['دقیقا', 'همینطوره']"
6,@lavenderr94 خیلی بی انصافی😂😂,خیلی بی انصافی,"['خیلی', 'بی', 'انصافی']",['انصافی']
7,"RT @Ftm_Jahani: #صداوسيما پاسخ گو باشد
برای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگویید؟
در خصوص این اهانت باید از اقای #سعید_محمد…",صداوسيما پاسخ گو باشدبرای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگوییددر خصوص این اهانت باید از اقای  سعید محمد,"['صداوسيما', 'پاسخ', 'گو', 'باشدبرای', 'رفتار', 'غیر', 'اخلاقی', 'کارشناس', 'آقای', 'خسروی', 'چه', 'دارید', 'بگوییددر', 'خصوص', 'این', 'اهانت', 'باید', 'از', 'اقای', 'سعید', 'محمد']","['صداوسيما', 'پاسخ', 'گو', 'باشدبرای', 'رفتار', 'اخلاقی', 'کارشناس', 'خسروی', 'دارید', 'بگوییددر', 'اهانت', 'اقای', 'سعید', 'محمد']"
8,"نمیدونم چندمین رای میشه
I vote #Dynamite for #BestMusicVideo at the #iHeartAwards 
@BTS_twt",نمیدونم چندمین رای میشهi vote  dynamite for  bestmusicvideo at the  iheartawards,"['نمیدونم', 'چندمین', 'رای', 'میشهi', 'vote', 'dynamite', 'for', 'bestmusicvideo', 'at', 'the', 'iheartawards']","['نمیدونم', 'چندمین', 'رای', 'میشهi', 'vote', 'dynamite', 'for', 'bestmusicvideo', 'at', 'the', 'iheartawards']"
9,@marikaia88 @exoonearewe ریپلایم خودشو کشت ولی نیومد...,ریپلایم خودشو کشت ولی نیومد,"['ریپلایم', 'خودشو', 'کشت', 'ولی', 'نیومد']","['ریپلایم', 'خودشو', 'کشت', 'نیومد']"
