,preprocess_texts
0,هدف من پیدا کردن ایران ستیزان بود که شما رو یافتمحالا شما از پشت لباس پادشاهی دوست بیا بیرون چون طرفداران پادشاهی / / t co / zkxhxrtvzu
1,ظهر شمام بخیر
2,دوست پسر خلبان کجا میفروخن
3,۰۰۷ خب اونجا زندگی می‌کنیم
4,rt  ۱ صبحا که میخوان منو از خواب بیدار کنن  / / t co / zolx ۱ koqtw
5,دقیقا همینطوره
6,۹۴ خیلی بی انصافی
7,صداوسیما پاسخ‌گو باشدبرای رفتار غیر اخلاقی کارشناس آقای خسروی چه دارید بگویید در خصوص این اهانت باید از اقای  سعید محمد
8,نمیدونم چندمین رای میشهi vote  dynamite for  bestmusicvideo at the  iheartawards
9,۸۸  ریپلایم خودشو کشت ولی نیومد
10,rt  ۷۰ از جهت وجه خارجی هم انتخابات و مشارکت مردم نشان‌دهنده اقتدار ملی است  دیار صددرصد رای آری
11,فوریدکتر  سعید محمد طی تماس تلفنی از  سعید جلیلی جهت ثبت‌نام در انتخابات دعوت بعمل آورد / / t co / ۹ nkifcfweh
12,خارجیا یه ضرب المثلی دارن میگه one man's trash is another man's treasureیعنی گاها چیزی که برای کسی آ / / t co / ieuawduzcm
13,با چراغی همه‌جا گشتم وگشتم در شهر هیچ‌کس  هیچ‌کس اینجا به تو مانند نشد  وحدت برای مردم  دوباره ایثار  قالیباف / / t co / zmpcx ۲ gmlv
14,۰۰۳  ۱    ۰۰۱    ۷۴۷  / / t co / zwwoimo ۵ gc
15,من که نفهمیدم
16,۱ من اگه جای شورای نگهبان بودماز اینم استصوابی‌تر بودم
17,مال این حرفایی
18,rt  ۱۲ به جای توئیتهای  فلانی بیا کاش توئیت می‌زدید آقا بیا  یا صاحب الزمان
19,تلگرام ندارم شرمنده ام exo
20,فرد اصلح کشور و رئیس‌جمهور آینده رئیسی آمد / / t co / ۶ lppqpvuim
21,rt  ۱۷۶ ما براندازان شاید نظرات مختلفی داشته باشیم اما حرف آخرمان یکی است و آن هم نه به جمهوری اسلامیاستو اکنون می‌گویم
22,۱۹۴۸۹۱۸۱ پس چی بگیرم برات حالت خوب شه
23,حتی حیوونام دچار اختلالات شناختی میشن و حقیقتا پشمام
24,۰ oghte چقدر خشن چی میشه انگلیسیش
25,سخت‌ترین انتظار انتظار برای پیک غذاس
26,خدا نکنه
27,rt  ۰۴۸۳۶۵۴۷  همه مدعیان برعلیه دکتر احمدینژاد غلط می‌کنند
28,حکومت ج ا ازمردمش جدا هست اگر اسرائیل فراخوان سرباز ورزمنده ازایرانیان بدهد بیشترا / / t co / vfc ۵ hrym ۷ r
29,مطمین باشه چون می‌دانی نیست نمیتونه باندازه سعید محمد کارا باشه بعد چهار سال دوباره اصلاح طلبا سرو کله شو / / t co / tpgbojhrdm
30,فراخوان «عرضه محصولات فرهنگی و آموزشی در کتاب‌فروشی معمار نیوز» لذا از کلیه اشخاص حقیقی و حقوقی از جمله ناشرین م / / t co / ۸ c ۸ sror ۸ f ۷
31,مژده دهید باغ را   سلام بر ابراهیم / / t co / faorfxbwj ۵
32,پرسپولیسی اماما بهت میگم بی‌ادب
33,rt  ۱۳۸۶     اولا سلام موزی قشنگممدوما منم همین فکرو می‌کنمباور کن از وقتی
34,بانیان و شرکای وضع موجود نمی‌توانند تغییردهنده وضعیت فعلی باشند
35,۱۹۹۱ اهوم اصن ارامش زندگی تو همین خلاصه میشه
36,حتی قبل‌تر یه گروه تحقیقاتی فیلمی گرفتن که فکهای آبی که نتوانستن تو فصل جفتگیری ماده پیدا کنند به پنگئون تجاوز کردن
37,rt  ۰۵۶۵۵۹۲۳ بایکی تو تلگرام چت می‌کردم و گفتم من عاشق محصولات سرفیسم از همون روز توی توییتر تبلیغات سرفیس واسم نمایش داده میشه طب
38,بابا اینا خیلی رو دارن
39,ببخششید / / t co / gte ۰ n ۰ nn ۱ h
40,به لطف خدا جناب اقای حسن روحانی مجددا با شعار دولت تدبیر و امید در انتخابات ثبت‌نام فرمودند  علی برکت الله / / t
41,۹ هرچی هس از مال خودت بهترع فعلا اینو داشتع باش تا جنس جدید بیاد برام
42,به خودم ک نگاه می‌کنممی‌بینم هرچقدر ثبات شخصیتی دارمهمونقدر ثبات روحی ندارمو اینه که اشفتم میکنهو واقعا نمیدونم / / t co / oxht ۲ btn ۳ h
43,ولی من حس می‌کنم تو یکی از اسپیسا بودی
44,اینم حالو روز ماهاست دیگهفلسطینی‌ها کاری کردند که هر شب باید با یه مشت تخمه بشینیم پای تلویزیون موشک خوردن اسرائیل رو تم
45,۹۳ ما میگیم سر و ته یه گوهن باز تو میای سوا می‌کنی
46,۱۳۵۲ مخالفان آزادی ایشون خودش سردسته مخالفان آزادیه که برای شهوت قدرت ملتو به آشوب دعوت کرد و هشت ماه هزینه / / t co / fnnbzrnyf ۱
47,میدونن قهرمانی دوره استرس نمیگیرن پوستشون سالم میمونه
48,۲۰۰۰ خورده ایتون اینو فالو دارید  / / t co / nazlex ۳ dbb
49,مردم تکرار کنید
50,rt  ۹۸۸۹۹۱۰۳   منم زیر پنجام
51,تو اصلا خودتو اصطوره‌ی مظلوما میدونی
52,۷۹۸۹  این منطق خیلی ضعیفه این عزیزان دنبال این هستند که سکان کشور رو انتقلابیها به / / t co / kq ۱ dk ۵ ykn ۰
53,جمعی از کارگران شرکت کشت و صنعت میرزا کوچک خان واقع در شهرستان خرمشهر در استان خوزستان روز پنجشنبه ۲۳ اردیبهشت‌ماه با برپای
54,رضا کفتر باز حتی از کفترا و پرنده هاشم نمیتونه محافظت کنه اونوقت یه عده همچنان میرن دخیل میبندن که سرطانشون خوب شه  h
55,تف به حیات
56,صدا و سیما پادگانیه که سربازانش زیر دست سرهنگ لاریجانی تربیت شدند  انتخابات  ۱۴۰۰ رئیسی بیا
57,۸ حیف از گلوله؛ اینها رو باید با قرص برنج کشت
58,نمیخواین یه حالی بدینتا ۳ کا آدم با مرام دور هم جمع بشیم ❤
59,تو بمیر قول میدم نامت به نکویی ببرم   نه به جمهوری اسلامی
60,rt  ۹۹  رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده
